vjdbv1.0_field_index,vjdbv1.0_field_id,vjdbv1.0_name,vjdbv1.0_description,vjdbv1.0_fields_type,vjdbv1.0_privacy,vjdbv0.2__field_id,vjdbv0.1_field_id,ena_field_id,rki_field_id,migs-vi_field_id,migs-uvig_field_id,env-o_field_id,ncbi_virus_n_nucleotide_field_id,bv-brc_b_field_name,ena_erc32_field_name,ena_erc33_field_name,img/vr_field_name,phd_field_name,phispy_field_name,gtdb_field_name,ena_submission_object_object_name,vjbd_submission_object_object_name,vjdbv1.0_group1,vjdbv1.0_group2,vjdbv1.0_group3,vjdbv1.0_tags,vjdbv1.0_input_source,vjdbv1.0_notes,vjdbv1.0_changes,vjdbv0.2_previous_changes,ncbi_virus_n_field_name,ncbi_virus_n_field_description,ncbi_virus_n_type,ncbi_virus_n_curation_notes,bv-brc_b_category,bv-brc_b_schema_category,bv-brc_b_field_id,bv-brc_b_field_type,bv-brc_b_type,bv-brc_b_curation_notes,ena_erc32_field_description,ena_erc32_controlled_vocabulary,ena_erc32_field_type,ena_erc33_field_description,ena_erc33_controlled_vocabulary,ena_erc33_field_type,ena_submission_requiredness,vjdb_submission_requiredness,vjdb_example,vjdb_validation_rules,ena_submission_fieldtype,ena_submission_validation,ictv40_i_field_name,vjdbv1.0_index,vjdbv1.0_search_method,vjdbv1.0_default_search
0ag,genbank_title,GenBank Title,Genbank title of the sequence.,text,internal,sequence_title,N/A,N/A,N/A,N/A,N/A,N/A,GenBank_Title,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Sequence,N/A,"['NCBI Virus', 'Sample', 'Sequence']",NCBI Virus,no example needed,N/A,N/A,GenBank Title,The title of the GenBank record associated with the sequence.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,N/A,metadata,full fuzzy,N/A
0aj,city,City,City where the sample the sequence originates from was collected or sampled.,text,internal,collection_city,N/A,geographic location (region and locality),N/A,N/A,N/A,N/A,Geo_Location,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Collection,N/A,"['ENA', 'NCBI Virus', 'Sample', 'Collection']",NCBI Virus,N/A,N/A,"Not in VJDB, Completly new due to byCovid",Geo Location,"The geographic location where the virus was isolated. NCBI Virus relies solely on the information provided by submitters, which may sometimes mistakenly identify regions where sequences were processed instead of the actual collection locations. The granularity of the information displayed in the column depends on the submitter. For example, it can be ""Australia: Heron Island, Great Barrier Reef"", or just ""China"". The country and other geographic location names are based on the INSDC Geographic Location list.",N/A,"split Geo_Location and compare to collection_country , ingest to collection_region and collection_city",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,recommended,recommended,Jena,Defined list of Cities (!),text,freetext,N/A,metadata,full fuzzy,N/A
0ap,genome_completeness_percentage,Genome Completeness Percentage,The level of the sequence completeness compare to the representative sequence in refseq in percentage,float,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,N/A,Workflows,"['Sample', 'Workflows']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metadata,range,N/A
0ax,ncbi_usa,NCBI USA,State/Region where the sample the sequence originates from was collected/sampled.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,USA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Collection,N/A,"['NCBI Virus', 'Sample', 'Collection']",NCBI Virus,"This is defined different from the duplicate below. Meaning for submission Tool was to have a geographical level higher than countries (continents). We keep it (mostly redundant), might be useful for later curation; ",collection_region,N/A,USA,"The name of US state, if sample was collected in USA.",N/A,concatenate to collection_region,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NY; FL,State abbreviation(!),combo,controlled_vocabulary,N/A,metadata,exact,N/A
0ay,analysis_accession,Analysis Accession,ENA analysis object Accession.,keyword,internal,analysis_accession_id,N/A,analysis accession,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ENA Analysis,VJDB Analysis,Organizational,Identifiers,N/A,"['ENA', 'Organizational', 'ENA Analysis', 'VJDB Analysis', 'Identifiers']",N/A,no example needed,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,unique,N/A,metadata,exact,N/A
0be,collecting_organization,Collecting Organization,Name of the institution/affiliation to which the person collecting the sample belongs,text,internal,collecting_institute,N/A,collecting institution,N/A,N/A,N/A,N/A,N/A,N/A,collecting institution,collecting institution,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Collection,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,conform with submitter organization; not sure,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Name of the institution to which the person collecting the specimen belongs. format: institute name, institute address",N/A,N/A,"(Mandatory) Name of the institution to which the person collecting the specimen belongs. format: institute name, institute address",N/A,TEXT_AREA_FIELD,mandatory,mandatory,N/A,Free text,text,freetext,N/A,metadata,full fuzzy,N/A
0bf,host_health_state,Host Health State,"Health state of the host at the time of sample collection, e.g. diseased or healthy",text,internal,collection_host_health_state,N/A,host health state,N/A,N/A,N/A,N/A,N/A,N/A,host health state,host health state,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Collection,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Health status of the host at the time of sample collection.,N/A,N/A,(Mandatory) Health status of the host at the time of sample collection.,N/A,TEXT_CHOICE_FIELD,mandatory,mandatory,diseased; healthy,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,N/A,metadata,exact fuzzy,N/A
0bg,latitude,Latitude,"The geographic location by latitude, where the sample the sequence originates from was collected/sampled. (DD)",keyword,internal,collection_location_latitude,N/A,geographic location (latitude),N/A,lat_lon,N/A,N/A,N/A,N/A,geographic location (latitude),geographic location (latitude),N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Collection,N/A,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) The geographical origin of the sample as defined by latitude. the values should be reported in decimal degrees and in wgs84 system (Units: DD),N/A,N/A,"(Recommended) The geographical origin of the sample as defined by latitude. the values should be reported in decimal degrees and in wgs84 system Units: 
",N/A,TEXT_FIELD,recommended,recommended,-18.54; 68.277,Coordinates in DD format. Decimal number between  -90 and 90. 90 and -90 work without decimals.,text,unique,N/A,metadata,exact,N/A
0bh,longitude,Longitude,"The geographic location by longitude, where the sample the sequence originates from was collected/sampled. (DD)",keyword,internal,collection_location_longitude,N/A,geographic location (longitude),N/A,lat_lon,N/A,N/A,N/A,N/A,geographic location (longitude),geographic location (longitude),N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Collection,N/A,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) The geographical origin of the sample as defined by longitude. the values should be reported in decimal degrees and in wgs84 system (Units: DD),N/A,N/A,"(Recommended) The geographical origin of the sample as defined by longitude. the values should be reported in decimal degrees and in wgs84 system Units: 
",N/A,TEXT_FIELD,recommended,recommended,-102.35; 22.6,Coordinates in DD format. Decimal number between  -180 and 180. 180 and -180 work without decimals.,text,unique,N/A,metadata,exact,N/A
0bi,collection_region,Collection Region,Continent where the sample the sequence originates from was collected/sampled.,text,internal,collection_region,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Collection,N/A,"['Sample', 'Collection']",no source,"Region unclear -> Check again where it came from, recheck naming and vocabulary, INSDC country list contains the oceans; Name suggestions macroregion or georegion; no direct source but constructable (group countries into clusters); ",remove,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Asia,Defined list fo regions(!),text,freetext,N/A,metadata,full fuzzy,N/A
