vjdbv1.0_field_id,vjdbv1.0_name,vjdbv1.0_description,vjdbv1.0_fields_type,rki_field_id,migs-vi_field_id,migs-uvig_field_id,ncbi_virus_n_nucleotide_field_id,bv-brc_b_field_name,ena_erc32_field_name,ena_erc33_field_name,img/vr_field_name,phd_field_name,phispy_field_name,gtdb_field_name,vjdbv1.0_tags,vjdbv1.0_input_source,vjdbv1.0_notes,vjdbv1.0_changes,ncbi_virus_n_field_description,ncbi_virus_n_type,ncbi_virus_n_curation_notes,bv-brc_b_category,bv-brc_b_schema_category,bv-brc_b_field_id,bv-brc_b_field_type,bv-brc_b_type,bv-brc_b_curation_notes,ena_erc32_field_description,ena_erc32_controlled_vocabulary,ena_erc32_field_type,ena_erc33_field_description,ena_erc33_controlled_vocabulary,ena_erc33_field_type,vjdb_example,ictv40_i_field_name
genbank_title,GenBank Title,Genbank title of the sequence.,text,N/A,N/A,N/A,GenBank_Title,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['NCBI Virus', 'Sample', 'Sequence']",NCBI Virus,no example needed,N/A,The title of the GenBank record associated with the sequence.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
city,City,City where the sample the sequence originates from was collected or sampled.,text,N/A,N/A,N/A,Geo_Location,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['ENA', 'NCBI Virus', 'Sample', 'Collection']",NCBI Virus,N/A,N/A,"The geographic location where the virus was isolated. NCBI Virus relies solely on the information provided by submitters, which may sometimes mistakenly identify regions where sequences were processed instead of the actual collection locations. The granularity of the information displayed in the column depends on the submitter. For example, it can be ""Australia: Heron Island, Great Barrier Reef"", or just ""China"". The country and other geographic location names are based on the INSDC Geographic Location list.",N/A,"split Geo_Location and compare to collection_country , ingest to collection_region and collection_city",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jena,N/A
genome_completeness_percentage,Genome Completeness Percentage,The level of the sequence completeness compare to the representative sequence in refseq in percentage,float,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Sample', 'Workflows']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ncbi_usa,NCBI USA,State/Region where the sample the sequence originates from was collected/sampled.,keyword,N/A,N/A,N/A,USA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['NCBI Virus', 'Sample', 'Collection']",NCBI Virus,"This is defined different from the duplicate below. Meaning for submission Tool was to have a geographical level higher than countries (continents). We keep it (mostly redundant), might be useful for later curation; ",collection_region,"The name of US state, if sample was collected in USA.",N/A,concatenate to collection_region,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NY; FL,N/A
analysis_accession,Analysis Accession,ENA analysis object Accession.,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['ENA', 'Organizational', 'ENA Analysis', 'VJDB Analysis', 'Identifiers']",N/A,no example needed,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
collecting_organization,Collecting Organization,Name of the institution/affiliation to which the person collecting the sample belongs,text,N/A,N/A,N/A,N/A,N/A,collecting institution,collecting institution,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,conform with submitter organization; not sure,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Name of the institution to which the person collecting the specimen belongs. format: institute name, institute address",N/A,N/A,"(Mandatory) Name of the institution to which the person collecting the specimen belongs. format: institute name, institute address",N/A,TEXT_AREA_FIELD,N/A,N/A
host_health_state,Host Health State,"Health state of the host at the time of sample collection, e.g. diseased or healthy",text,N/A,N/A,N/A,N/A,N/A,host health state,host health state,N/A,N/A,N/A,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Health status of the host at the time of sample collection.,N/A,N/A,(Mandatory) Health status of the host at the time of sample collection.,N/A,TEXT_CHOICE_FIELD,diseased; healthy,N/A
latitude,Latitude,"The geographic location by latitude, where the sample the sequence originates from was collected/sampled. (DD)",keyword,N/A,lat_lon,N/A,N/A,N/A,geographic location (latitude),geographic location (latitude),N/A,N/A,N/A,N/A,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) The geographical origin of the sample as defined by latitude. the values should be reported in decimal degrees and in wgs84 system (Units: DD),N/A,N/A,"(Recommended) The geographical origin of the sample as defined by latitude. the values should be reported in decimal degrees and in wgs84 system Units: 
",N/A,TEXT_FIELD,-18.54; 68.277,N/A
longitude,Longitude,"The geographic location by longitude, where the sample the sequence originates from was collected/sampled. (DD)",keyword,N/A,lat_lon,N/A,N/A,N/A,geographic location (longitude),geographic location (longitude),N/A,N/A,N/A,N/A,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) The geographical origin of the sample as defined by longitude. the values should be reported in decimal degrees and in wgs84 system (Units: DD),N/A,N/A,"(Recommended) The geographical origin of the sample as defined by longitude. the values should be reported in decimal degrees and in wgs84 system Units: 
",N/A,TEXT_FIELD,-102.35; 22.6,N/A
collection_region,Collection Region,Continent where the sample the sequence originates from was collected/sampled.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Sample', 'Collection']",no source,"Region unclear -> Check again where it came from, recheck naming and vocabulary, INSDC country list contains the oceans; Name suggestions macroregion or georegion; no direct source but constructable (group countries into clusters); ",remove,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Asia,N/A
collection_source_environment,Collection Source Environment,"Describes the physical, environmental or local geographical source of the sample, e.g. soil",text,N/A,env_medium? more or less,N/A,N/A,N/A,isolation source non-host-associated,isolation source non-host-associated,N/A,N/A,N/A,N/A,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,"as it is, for revision with data; not sure",collection_source_non-host_associated,N/A,N/A,split Tissue_Specimen_Source to collection_source_environment and collection_source_host_tissue,N/A,N/A,N/A,N/A,N/A,N/A,"(Recommended) Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived. example: soil",N/A,N/A,"(Recommended) Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived. example: soil",N/A,TEXT_FIELD,N/A,N/A
