rki_field_id	migs-vi_field_id	migs-uvig_field_id	ncbi_virus_n_nucleotide_field_id	bv-brc_b_field_name	ena_erc32_field_name	ena_erc33_field_name	img/vr_field_name	phd_field_name	phispy_field_name	gtdb_field_name	ncbi_virus_n_field_description	ncbi_virus_n_type	ncbi_virus_n_curation_notes	bv-brc_b_category	bv-brc_b_schema_category	bv-brc_b_field_id	bv-brc_b_field_type	bv-brc_b_type	bv-brc_b_curation_notes	ena_erc32_field_description	ena_erc32_controlled_vocabulary	ena_erc32_field_type	ena_erc33_field_description	ena_erc33_controlled_vocabulary	ena_erc33_field_type	vjdb_example	ictv40_i_field_name
			Accession	GenBank Accessions				insdc_accession_id			A unique identifier (Nucleotide, Protein or Assembly Accession, depending on the selected tab) assigned to the sequence record in GenBank.			DB Cross Reference		genbank_accessions	string_ci										
			Assembly	Assembly Accession				assembly_accession_id			NCBI Virus Assembly accession number. For more information about NCBI Virus assembly, see Data Model, Type of Data and Dataflow section.			DB Cross Reference		assembly_accession	string		without version								
			BioProject	BioProject Accession							The BioProject accession number associated with the sequence.			DB Cross Reference		bioproject_accession	string										
	source_mat_id?		BioSample	BioSample Accession							The BioSample accession number associated with the sequence.			DB Cross Reference		biosample_accession	string										
SEQUENCE. DATE_OF_SAMPLING	collection_date; has intervall		Collection_Date	Collection Date	collection date	collection date					The date when the virus sample was collected.			Isolate Info	Isolation Metadata	collection_date	string			(Mandatory) The date the sample was collected with the intention of sequencing, either as an instance (single point in time) or interval. in case no exact time is available, the date/time can be right truncated i.e. all of these are valid iso8601 compliant times: 2008-01-23t19:23:10+00:00; 2008-01-23t19:23:10; 2008-01-23; 2008-01; 2008.			(Mandatory) The date the sample was collected with the intention of sequencing, either as an instance (single point in time) or interval. in case no exact time is available, the date/time can be right truncated i.e. all of these are valid iso8601 compliant times: 2008-01-23t19:23:10+00:00; 2008-01-23t19:23:10; 2008-01-23; 2008-01; 2008.		TEXT_FIELD	2023-05-25	
	geo_loc_name		Country	Isolation Country	geographic location (country and/or sea)	geographic location (country and/or sea)					The country of specimen collection.		split Geo_Location and compare to collection_country , ingest to collection_region and collection_city	Isolate Info	Isolation Metadata	isolation_country	string_ci			(Mandatory) The geographical origin of where the sample was collected from, with the intention of sequencing, as defined by the country or sea name. country or sea names should be chosen from the insdc country list (http://insdc.org/country.html).			(Mandatory) The location the sample was collected from with the intention of sequencing, as defined by the country or sea. country or sea names should be chosen from the insdc country list (http://insdc.org/country.html).		TEXT_CHOICE_FIELD	Germany	
			GenBank_Title								The title of the GenBank record associated with the sequence.																
			GenBank_RefSeq								Specifies if the sequence is from GenBank or RefSeq database.		convert GenBank/RefSeq input to boolean													true	
			GenBank_RefSeq	Reference							Specifies if the sequence is from GenBank or RefSeq database.		convert GenBank/RefSeq input to boolean	Type Info		reference_genome	string		"if reference sequence, value = ""Reference"""							true	
			Geo_Location								"The geographic location where the virus was isolated. NCBI Virus relies solely on the information provided by submitters, which may sometimes mistakenly identify regions where sequences were processed instead of the actual collection locations. The granularity of the information displayed in the column depends on the submitter. For example, it can be ""Australia: Heron Island, Great Barrier Reef"", or just ""China"". The country and other geographic location names are based on the INSDC Geographic Location list."		split Geo_Location and compare to collection_country , ingest to collection_region and collection_city													Jena	
