vjdbv1.0_field_id	vjdbv1.0_name	vjdbv1.0_description	vjdbv1.0_fields_type	vjdbv1.0_tags	vjdbv1.0_input_source	vjdbv1.0_notes	vjdbv1.0_changes	vjdb_example	ictv40_i_field_name
genbank_title	GenBank Title	Genbank title of the sequence.	text	['NCBI Virus', 'Sample', 'Sequence']	NCBI Virus	no example needed	N/A	N/A	N/A
city	City	City where the sample the sequence originates from was collected or sampled.	text	['ENA', 'NCBI Virus', 'Sample', 'Collection']	NCBI Virus	N/A	N/A	Jena	N/A
genome_completeness_percentage	Genome Completeness Percentage	The level of the sequence completeness compare to the representative sequence in refseq in percentage	float	['Sample', 'Workflows']	N/A	N/A	N/A	N/A	N/A
ncbi_usa	NCBI USA	State/Region where the sample the sequence originates from was collected/sampled.	keyword	['NCBI Virus', 'Sample', 'Collection']	NCBI Virus	This is defined different from the duplicate below. Meaning for submission Tool was to have a geographical level higher than countries (continents). We keep it (mostly redundant), might be useful for later curation; 	collection_region	NY; FL	N/A
analysis_accession	Analysis Accession	ENA analysis object Accession.	keyword	['ENA', 'Organizational', 'ENA Analysis', 'VJDB Analysis', 'Identifiers']	N/A	no example needed	keep internally	N/A	N/A
collecting_organization	Collecting Organization	Name of the institution/affiliation to which the person collecting the sample belongs	text	['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']	N/A	conform with submitter organization; not sure	keep internally	N/A	N/A
host_health_state	Host Health State	Health state of the host at the time of sample collection, e.g. diseased or healthy	text	['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Collection']	N/A	N/A	keep internally	diseased; healthy	N/A
latitude	Latitude	The geographic location by latitude, where the sample the sequence originates from was collected/sampled. (DD)	keyword	['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']	N/A	N/A	keep internally	-18.54; 68.277	N/A
longitude	Longitude	The geographic location by longitude, where the sample the sequence originates from was collected/sampled. (DD)	keyword	['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']	N/A	N/A	keep internally	-102.35; 22.6	N/A
collection_region	Collection Region	Continent where the sample the sequence originates from was collected/sampled.	text	['Sample', 'Collection']	no source	Region unclear -> Check again where it came from, recheck naming and vocabulary, INSDC country list contains the oceans; Name suggestions macroregion or georegion; no direct source but constructable (group countries into clusters); 	remove	Asia	N/A
